
0;17;Glorbo Fruttodrillo;95;Data/textures-cards/Mozarella.png;Un personaggio che può curare e rafforzare i compagni.;7;3;0;Italy;0;0
0;18;Camelrino Tazzino;110;Data/textures-cards/Ballerina_Cappucina.png;Un robusto difensore, perfetto per proteggere gli alleati.;2;2;0;Italy;0;0
0;19;Chimpancés Bananini;90;;Agile e potente, questa scimmia è perfetta per l'attacco.;1;1;0;Italy;0;0
0;20;Shimpanzini Bananini Priestini;95;Data/textures-cards/Trippi_Troppi2.png;Un difensore agile, pronto a proteggere i suoi alleati.;3;2;0;Italy;0;0
0;21;Rantasanta Chinaranta;100;;Un personaggio con grande resistenza, ideale per difendere.;4;2;0;Italy;0;0
0;22;La Sombra Iluminada;90;Data/textures-cards/Capuchino_Assassino.png;Un personaggio misterioso, che cura e supporta i compagni.;8;3;0;Italy;0;0
0;23;Hansana Germana;110;Data/textures-cards/Talpa_di_Ferro.png;Un difensore robusto, sempre pronto a proteggere.;2;2;0;Italy;0;0
0;24;Sr. Gelantulone el Gerente;100;Data/textures-cards/Tractor.png;Un attaccante potente, che sfrutta la sua autorità in battaglia.;6;1;0;Italy;0;0
0;25;El Razonamiento del Vuoto;80;Data/textures-cards/Bobrini_Cocosini.png;Un personaggio etereo, perfetto per curare e mantenere in vita gli alleati.;9;3;0;Italy;0;0
0;26;Akulini Cactusini;110;Data/textures-cards/frigo_camello_buffo_fardello.png;Un attaccante agile, pronto a colpire con forza.;1;1;0;Italy;0;0
1;27;Mozzarella de Búfala;120;;Una difesa impenetrabile, sempre pronta a proteggere.;5;2;0;Italy;0;0
1;28;Bailarina Capuchina;90;Data/textures-cards/Markus_der_Kaktus.png;Un personaggio che si lancia in attacchi veloci e letali.;3;1;0;Italy;0;0
0;29;Bombardero Lucertola;100;;Un attaccante pronto a devastare con il suo stile esplosivo.;4;1;0;Italy;0;0
1;30;Trippi Troppi;110;Data/textures-cards/Anomali_tung_tung_tun/g.png;Un agile combattente in grado di attaccare velocemente.;1;1;0;Italy;0;0
0;31;Burbaloni Luliloli;100;;Un difensore esperto, in grado di proteggere gli altri.;2;2;0;Italy;0;0
1;32;Capuchino Asesino;120;Data/textures-cards/Capuchino_Assassino.png;Un attaccante esperto in tecniche letali.;5;1;0;Italy;0;0
1;33;Talpa Di Ferro;90;Data/textures-cards/Talpa_di_Ferro.png;Un difensore robusto e resistente, pronto a proteggere ogni alleato.;3;2;0;Italy;0;0
1;34;Tracotocutulo;150;Data/textures-cards/Tractor.png;Un attaccante brutale con una forza devastante.;7;1;0;Italy;0;0
1;35;Bobrini Cocosini;140;Data/textures-cards/Bobrini_Cocosini.png;Un personaggio che può attaccare con grande potenza.;4;1;0;Italy;0;0
1;36;Frigo Camello;130;Data/textures-cards/frigo_camello_buffo_fardello.png;Un personaggio che si dedica a difendere i più deboli.;3;2;0;Italy;0;0
0;37;El Szczurito Kurwito Golfito;190;;Un personaggio che combina attacco e resistenza in modo letale.;9;1;0;Italy;0;0
0;38;Crocodildo Penisini;140;;Un attaccante di grande forza, pronto a colpire senza pietà.;5;1;0;Italy;0;0
1;40;Markus der Kaktus;110;Data/textures-cards/Markus_der_Kaktus.png;Un personaggio che usa la difesa come sua arma principale.;2;2;0;Germany;0;0
0;41;Jochen der Mantarochen;90;;Un difensore di grande resistenza, pronto a proteggere il team.;1;2;0;Germany;0;0
0;42;Mira la Cebra con Lepra;100;;Un personaggio che cura e aiuta gli alleati a riprendersi.;7;3;0;Spain;0;0
0;43;Peligroso Bearito;110;;Un personaggio che usa la forza per attaccare i nemici.;5;1;0;Spain;0;0
0;44;Meterito Bearito;90;;Un resistente difensore, perfetto per proteggere i compagni.;6;2;0;Spain;0;0
1;45;Tung Tung Tung Sahur;130;Data/textures-cards/Anomali_tung_tung_tung.png;Un personaggio che attacca con grande potenza.;3;1;0;Indonesia;0;0
0;46;Istri Tung Tung Tung Sahur;130;;Un difensore che protegge il gruppo da ogni minaccia.;3;2;0;Indonesia;0;0
0;47;Anak Tung Tung Tung Sahur;120;;Un curatore che usa il potere della guarigione.;2;3;0;Indonesia;0;0
0;48;Tung Tang Tung Tang Tung Shafar;150;;Un potente attaccante pronto a dominare la battaglia.;5;1;0;Indonesia;0;0
0;49;Garamaraman dan Madudungdung tak Tuntung Perkuntung;190;;Un devastante attaccante con potenza smisurata.;9;1;0;Indonesia;0;0
0;50;Hasta Tobi Tob Tob;130;;Un curatore che ripristina energia ai suoi compagni.;3;3;0;Spain;0;0
0;51;Generale struzzo barba;140;;Un attaccante strategico e determinato.;4;1;0;Italy;0;0
0;52;WhatsApp Mark;180;;Un personaggio di attacco che manda segnali di forza.;8;1;0;USA;0;0
0;53;The Lion;180;;Un leone forte che incute paura e attacca con determinazione.;8;1;0;USA;0;0
